;mae;mse;rmse;mape;n
SANSED05#H05Sd01;290.409031574632;93022.9767082064;304.996683110172;1.91347919531449;5
SANSED05#H05Sd02;264.888537534171;77547.0192487242;278.472654400256;1.33703708768124;5
SANSED05#H05Sd03;108.858508488405;15347.1495066165;123.883612744449;0.338201236706419;5
SANSED01#A06Sd01;48.7467983565339;3529.88666442816;59.4128493209016;0.0941141737969498;5
SANSED01#A06Sd02;212.623707228673;45375.5885845511;213.015465599451;0.2873266847078;5
SANSED01#A06Sd03;32.6956926238503;1249.01622072037;35.3414235808402;0.052881253992486;5
SANSED01#A07Sd01;368.982498112258;136303.067332158;369.192452972915;3.1363439007117;5
SANSED01#A08Sd01;112.286526146981;12871.1787740138;113.451217595995;0.192890707355611;5
SANSED01#A08Sd02;51.9093481285181;2715.66169918212;52.1120110836467;0.109126088555717;5
SANSED01#A08Sd03;42.9222908670671;2467.98073235205;49.6787754715437;0.0809584255945443;5
SANSED01#A09Sd01;17.6757506997577;560.11626399211;23.6667755300994;0.0399841651418989;5
SANSED01#A09Sd02;18.700664583884;739.575421554897;27.195135990741;0.041631144041735;5
SANSED01#A09Sd03;125.585275599585;15865.2689085914;125.957409105584;0.235292091595866;5
SANSED01#A10Sd01;11.1704173486844;154.634579688962;12.4352153052918;0.0643198333587573;5
SANSED01#A10Sd02;27.9896607460949;836.413180894439;28.9208087870038;0.181378120026572;5
SANSED01#A10Sd03;36.0126645497298;1365.26431178612;36.9494832411243;0.176335913921545;5
SANSED01#A11Sd01;10.0135061436226;105.925606341943;10.2920166314451;0.11916044446373;5
SANSED01#A11Sd02;18.5932000097466;441.384121037683;21.0091437483226;0.218608759566557;5
SANSED01#A11Sd03;30.2768559398139;998.499495125585;31.5990426298897;0.409989431897808;5
SANSED01#B06Sd01;44.3276887244644;3373.91927979016;58.0854480897768;0.0703615305452304;5
SANSED01#B06Sd02;96.5371755474422;9791.24545459674;98.9507223551033;0.146710759242923;5
SANSED01#B06Sd03;137.582911248892;18997.1312673099;137.83008114091;0.279362372829718;5
